2026-08-28 ET 11:03:42 | 周5 | 唤醒但不在任何窗口（ET_MIN=663），静默退出
2026-08-29 ET 00:00:15 | 周6 | 周末，不跑
2026-08-29 ET 00:05:16 | 周6 | 周末，不跑
2026-08-29 ET 00:10:16 | 周6 | 周末，不跑
2026-08-29 ET 00:15:16 | 周6 | 周末，不跑
2026-08-29 ET 00:20:16 | 周6 | 周末，不跑
2026-08-29 ET 00:25:16 | 周6 | 周末，不跑
2026-08-29 ET 00:30:16 | 周6 | 周末，不跑
2026-08-29 ET 00:35:16 | 周6 | 周末，不跑
2026-08-29 ET 00:40:16 | 周6 | 周末，不跑
2026-08-29 ET 00:45:16 | 周6 | 周末，不跑
2026-08-29 ET 00:50:16 | 周6 | 周末，不跑
2026-08-29 ET 00:55:16 | 周6 | 周末，不跑
2026-08-29 ET 01:00:16 | 周6 | 周末，不跑
2026-08-29 ET 01:05:17 | 周6 | 周末，不跑
2026-08-29 ET 01:10:17 | 周6 | 周末，不跑
2026-08-29 ET 01:15:17 | 周6 | 周末，不跑
2026-08-29 ET 01:20:17 | 周6 | 周末，不跑
2026-08-29 ET 01:25:17 | 周6 | 周末，不跑
2026-08-29 ET 01:30:17 | 周6 | 周末，不跑
2026-08-29 ET 01:35:17 | 周6 | 周末，不跑
2026-08-29 ET 01:40:17 | 周6 | 周末，不跑
2026-08-29 ET 01:45:17 | 周6 | 周末，不跑
2026-08-29 ET 01:50:17 | 周6 | 周末，不跑
2026-08-29 ET 01:55:17 | 周6 | 周末，不跑
2026-08-29 ET 02:00:17 | 周6 | 周末，不跑
2026-08-29 ET 02:05:17 | 周6 | 周末，不跑
2026-08-29 ET 02:10:17 | 周6 | 周末，不跑
2026-08-29 ET 02:15:18 | 周6 | 周末，不跑
2026-08-29 ET 02:20:18 | 周6 | 周末，不跑
2026-08-29 ET 02:25:18 | 周6 | 周末，不跑
2026-08-29 ET 02:30:18 | 周6 | 周末，不跑
2026-08-29 ET 02:35:18 | 周6 | 周末，不跑
2026-08-29 ET 02:42:10 | 周6 | 周末，不跑
2026-08-29 ET 03:28:24 | 周6 | 周末，不跑
2026-08-29 ET 03:33:24 | 周6 | 周末，不跑
2026-08-29 ET 03:38:24 | 周6 | 周末，不跑
2026-08-29 ET 03:43:24 | 周6 | 周末，不跑
2026-08-29 ET 03:48:24 | 周6 | 周末，不跑
2026-08-29 ET 03:53:24 | 周6 | 周末，不跑
